rectCenterX,rectCenterY,rectWidth,rectHeight
-0.942191,-1.38379,0.104858,0.0974764
-0.99462,-1.53,0.209716,0.194953
-0.784904,-1.33505,0.209716,0.194953
-0.837333,-1.28631,0.104858,0.0974764
-0.837333,-1.38379,0.104858,0.0974764
-0.732475,-1.28631,0.104858,0.0974764
-0.732475,-1.38379,0.104858,0.0974764
-0.784904,-1.53,0.209716,0.194953
-0.260614,-0.45776,0.838864,0.779811
-0.47033,-0.262807,0.419432,0.389905
-0.575188,-0.165331,0.209716,0.194953
-0.627617,-0.116593,0.104858,0.0974764
-0.627617,-0.214069,0.104858,0.0974764
-0.522759,-0.116593,0.104858,0.0974764
-0.522759,-0.214069,0.104858,0.0974764
-0.575188,-0.360284,0.209716,0.194953
-0.365472,-0.165331,0.209716,0.194953
-0.417901,-0.116593,0.104858,0.0974764
-0.417901,-0.214069,0.104858,0.0974764
-0.313043,-0.116593,0.104858,0.0974764
-0.313043,-0.214069,0.104858,0.0974764
-0.365472,-0.360284,0.209716,0.194953
-0.417901,-0.311545,0.104858,0.0974764
-0.444115,-0.287176,0.052429,0.0487382
-0.444115,-0.335915,0.052429,0.0487382
-0.391686,-0.287176,0.052429,0.0487382
-0.391686,-0.335915,0.052429,0.0487382
-0.417901,-0.409022,0.104858,0.0974764
-0.313043,-0.311545,0.104858,0.0974764
-0.313043,-0.409022,0.104858,0.0974764
-0.47033,-0.652713,0.419432,0.389905
-0.575188,-0.555236,0.209716,0.194953
-0.627617,-0.506498,0.104858,0.0974764
-0.627617,-0.603975,0.104858,0.0974764
-0.522759,-0.506498,0.104858,0.0974764
-0.522759,-0.603975,0.104858,0.0974764
-0.575188,-0.750189,0.209716,0.194953
-0.627617,-0.701451,0.104858,0.0974764
-0.627617,-0.798927,0.104858,0.0974764
-0.522759,-0.701451,0.104858,0.0974764
-0.522759,-0.798927,0.104858,0.0974764
-0.365472,-0.555236,0.209716,0.194953
-0.417901,-0.506498,0.104858,0.0974764
-0.417901,-0.603975,0.104858,0.0974764
-0.313043,-0.506498,0.104858,0.0974764
-0.313043,-0.603975,0.104858,0.0974764
-0.365472,-0.750189,0.209716,0.194953
-0.417901,-0.701451,0.104858,0.0974764
-0.417901,-0.798927,0.104858,0.0974764
-0.313043,-0.701451,0.104858,0.0974764
-0.313043,-0.798927,0.104858,0.0974764
-0.0508978,-0.262807,0.419432,0.389905
-0.155756,-0.165331,0.209716,0.194953
-0.208185,-0.116593,0.104858,0.0974764
-0.208185,-0.214069,0.104858,0.0974764
-0.103327,-0.116593,0.104858,0.0974764
-0.129541,-0.0922236,0.052429,0.0487382
-0.129541,-0.140962,0.052429,0.0487382
-0.142649,-0.128777,0.0262145,0.0243691
-0.142649,-0.153146,0.0262145,0.0243691
-0.116434,-0.128777,0.0262145,0.0243691
-0.116434,-0.153146,0.0262145,0.0243691
-0.0771123,-0.0922236,0.052429,0.0487382
-0.0771123,-0.140962,0.052429,0.0487382
-0.103327,-0.214069,0.104858,0.0974764
-0.129541,-0.1897,0.052429,0.0487382
-0.129541,-0.238438,0.052429,0.0487382
-0.0771123,-0.1897,0.052429,0.0487382
-0.0771123,-0.238438,0.052429,0.0487382
-0.155756,-0.360284,0.209716,0.194953
-0.208185,-0.311545,0.104858,0.0974764
-0.234399,-0.287176,0.052429,0.0487382
-0.234399,-0.335915,0.052429,0.0487382
-0.18197,-0.287176,0.052429,0.0487382
-0.18197,-0.335915,0.052429,0.0487382
-0.208185,-0.409022,0.104858,0.0974764
-0.234399,-0.384653,0.052429,0.0487382
-0.234399,-0.433391,0.052429,0.0487382
-0.18197,-0.384653,0.052429,0.0487382
-0.18197,-0.433391,0.052429,0.0487382
-0.103327,-0.311545,0.104858,0.0974764
-0.103327,-0.409022,0.104858,0.0974764
0.0539602,-0.165331,0.209716,0.194953
0.00153118,-0.116593,0.104858,0.0974764
0.00153118,-0.214069,0.104858,0.0974764
-0.0246833,-0.1897,0.052429,0.0487382
-0.0246833,-0.238438,0.052429,0.0487382
0.0277457,-0.1897,0.052429,0.0487382
0.0277457,-0.238438,0.052429,0.0487382
0.106389,-0.116593,0.104858,0.0974764
0.106389,-0.214069,0.104858,0.0974764
0.0539602,-0.360284,0.209716,0.194953
0.00153118,-0.311545,0.104858,0.0974764
-0.0246833,-0.287176,0.052429,0.0487382
-0.0246833,-0.335915,0.052429,0.0487382
0.0277457,-0.287176,0.052429,0.0487382
0.0277457,-0.335915,0.052429,0.0487382
0.00153118,-0.409022,0.104858,0.0974764
-0.0246833,-0.384653,0.052429,0.0487382
-0.0246833,-0.433391,0.052429,0.0487382
0.0277457,-0.384653,0.052429,0.0487382
0.0277457,-0.433391,0.052429,0.0487382
0.106389,-0.311545,0.104858,0.0974764
0.106389,-0.409022,0.104858,0.0974764
-0.0508978,-0.652713,0.419432,0.389905
-0.155756,-0.555236,0.209716,0.194953
-0.208185,-0.506498,0.104858,0.0974764
-0.208185,-0.603975,0.104858,0.0974764
-0.103327,-0.506498,0.104858,0.0974764
-0.103327,-0.603975,0.104858,0.0974764
-0.155756,-0.750189,0.209716,0.194953
-0.208185,-0.701451,0.104858,0.0974764
-0.208185,-0.798927,0.104858,0.0974764
-0.103327,-0.701451,0.104858,0.0974764
-0.103327,-0.798927,0.104858,0.0974764
0.0539602,-0.555236,0.209716,0.194953
0.00153118,-0.506498,0.104858,0.0974764
0.00153118,-0.603975,0.104858,0.0974764
-0.0246833,-0.579605,0.052429,0.0487382
-0.0246833,-0.628344,0.052429,0.0487382
0.0277457,-0.579605,0.052429,0.0487382
0.0277457,-0.628344,0.052429,0.0487382
0.106389,-0.506498,0.104858,0.0974764
0.106389,-0.603975,0.104858,0.0974764
0.0539602,-0.750189,0.209716,0.194953
-0.260614,-1.23757,0.838864,0.779811
-0.47033,-1.04262,0.419432,0.389906
-0.575188,-0.945142,0.209716,0.194953
-0.575188,-1.14009,0.209716,0.194953
-0.365472,-0.945142,0.209716,0.194953
-0.417901,-0.896404,0.104858,0.0974764
-0.417901,-0.99388,0.104858,0.0974764
-0.313043,-0.896404,0.104858,0.0974764
-0.313043,-0.99388,0.104858,0.0974764
-0.365472,-1.14009,0.209716,0.194953
-0.417901,-1.09136,0.104858,0.0974764
-0.417901,-1.18883,0.104858,0.0974764
-0.313043,-1.09136,0.104858,0.0974764
-0.313043,-1.18883,0.104858,0.0974764
-0.47033,-1.43252,0.419432,0.389905
-0.575188,-1.33505,0.209716,0.194953
-0.575188,-1.53,0.209716,0.194953
-0.365472,-1.33505,0.209716,0.194953
-0.417901,-1.28631,0.104858,0.0974764
-0.417901,-1.38379,0.104858,0.0974764
-0.313043,-1.28631,0.104858,0.0974764
-0.313043,-1.38379,0.104858,0.0974764
